5
4
2 1 3 4
A 2 3 1 4
B 3 1 4 2
C 4 2 2 3
D 3 2 1 4
E 2 3 3 1
3
3
3 2 1
A 2 1 3
B 2 3 1
C 1 2 3
10
9
1 6 4 3 2 8 7 5 9
A 5 8 1 1 1 5 1 6 1
B 4 7 2 2 1 4 1 7 1
C 3 6 3 7 1 2 1 8 1
D 7 5 4 8 1 3 1 5 1
E 7 4 5 6 1 3 1 4 1
F 5 3 6 3 1 2 1 3 1
G 3 2 7 2 1 1 1 2 1
H 2 6 8 1 1 5 1 8 1
I 1 7 9 9 1 6 1 9 1
J 1 2 2 5 1 8 1 4 1
1000
10
1 2 3 4 5 6 7 8 9 10
C/* 3 2 8 6 5 4 2 7 1 3 
O-I 4 2 4 6 1 4 5 3 5 3 
@,H 3 7 1 3 2 7 7 8 2 6 
-(0 6 1 8 5 7 3 7 5 8 4 
?N5 2 5 6 6 7 4 5 6 1 4 
FE+ 2 3 8 3 4 3 6 8 7 5 
6N= 3 3 2 4 3 4 4 7 5 3 
/:M 7 4 4 5 6 2 7 6 2 5 
A@* 3 3 4 3 1 4 7 2 2 3 
;>( 3 3 3 5 1 6 7 4 5 3 
81I 2 2 7 1 6 5 7 3 2 1 
621 7 6 6 6 1 8 1 6 8 4 
9=> 8 7 5 7 1 1 1 2 3 5 
8)B 8 6 6 2 3 8 3 7 8 1 
HK2 4 2 2 2 6 4 5 2 6 1 
E6* 3 2 1 5 1 3 5 3 1 3 
OF1 5 2 7 1 6 7 8 7 5 8 
+)O 1 4 5 2 6 8 7 2 5 2 
F6( 5 3 8 3 7 2 4 4 7 4 
6A7 8 4 3 6 3 8 5 1 2 2 
HIC 1 8 1 8 8 1 6 6 2 6 
J1( 8 5 5 2 1 2 5 3 8 3 
KIL 7 7 8 3 1 1 5 2 1 4 
5J8 3 8 6 7 7 4 4 3 1 8 
<*+ 6 3 4 1 6 2 2 1 2 7 
EK< 7 6 7 7 1 3 3 6 7 5 
<0; 4 3 6 7 8 4 2 1 4 3 
F+I 2 6 3 2 2 8 8 3 6 6 
90J 2 7 4 7 6 8 7 2 6 7 
:9N 3 6 4 3 4 1 6 3 1 5 
5C; 5 3 2 7 5 2 5 1 2 4 
@?@ 7 3 6 5 8 7 6 2 6 2 
J52 4 4 5 2 2 1 2 2 4 4 
(L0 3 7 8 2 2 7 6 7 2 4 
?=B 4 8 3 8 1 3 4 3 7 1 
8O3 5 4 4 4 7 6 5 6 5 7 
0:* 1 5 4 2 1 1 6 5 5 2 
I<7 6 4 8 4 6 5 2 8 3 3 
8FC 8 8 8 8 2 1 4 1 3 7 
MB, 4 3 7 8 3 5 8 4 8 2 
H,- 6 3 2 6 3 8 4 3 1 6 
=C( 7 1 3 4 5 8 7 5 2 7 
,5O 7 7 3 8 7 2 7 1 4 2 
J>= 8 3 7 3 6 2 3 3 7 8 
)=> 7 3 5 5 4 1 3 3 2 5 
(/L 4 8 1 3 8 4 7 1 8 5 
HL0 7 1 6 8 8 3 4 2 3 4 
;KE 7 2 2 6 6 7 1 6 7 3 
3<M 5 6 4 7 7 6 5 2 2 3 
A2B 6 7 6 1 4 5 4 2 6 6 
J1J 1 7 4 1 6 4 4 8 6 6 
E8D 7 3 5 5 8 5 4 1 1 3 
+FK 6 1 7 7 1 5 6 8 6 7 
E/> 2 7 6 8 1 8 6 6 7 2 
A*E 3 7 7 8 5 4 3 7 6 4 
1KD 1 7 7 1 4 7 4 3 3 6 
5+3 2 1 2 8 7 1 7 3 3 7 
)G3 3 8 6 5 4 4 1 3 7 8 
MDE 7 6 4 1 1 5 7 2 2 2 
CB@ 1 1 4 7 8 7 3 2 4 4 
@E1 8 8 8 3 2 2 3 1 3 2 
K4F 5 8 1 1 6 1 8 7 3 1 
JNO 2 4 5 3 2 7 3 8 6 7 
1J( 4 4 5 7 8 5 5 2 3 3 
-6F 5 7 4 5 8 1 4 2 1 7 
;NO 2 1 7 8 1 7 3 6 5 5 
2<) 3 4 7 8 1 4 8 4 2 4 
;*J 1 4 7 4 5 1 7 8 4 4 
360 3 1 1 1 3 2 1 8 7 8 
6,E 1 1 5 8 5 4 7 2 6 7 
K-N 2 6 1 8 8 5 5 8 2 7 
6/, 3 1 8 3 5 4 3 7 8 7 
7:L 8 5 8 5 3 2 7 3 8 4 
JIN 7 5 7 8 2 2 7 4 1 7 
473 4 7 2 2 7 6 4 1 5 1 
L>= 2 3 7 4 5 1 4 5 6 7 
N)C 2 6 4 7 6 6 2 1 6 1 
0B@ 2 3 8 2 5 8 4 5 1 4 
D@1 3 8 6 7 1 2 2 1 4 7 
AF4 2 3 5 4 3 5 7 8 7 2 
A81 1 6 1 2 3 6 2 4 4 3 
4N( 1 4 5 6 5 3 4 2 6 1 
,=. 2 7 2 4 6 1 3 7 2 5 
)5< 8 5 7 7 1 2 5 2 5 3 
;.? 3 8 1 3 6 8 5 1 5 4 
1(> 2 5 2 7 8 4 3 1 4 8 
8KN 8 1 8 5 5 7 2 2 6 4 
HIJ 1 6 4 3 1 5 7 4 8 8 
)C5 1 7 5 8 1 5 4 6 1 5 
.NJ 4 7 4 5 2 4 1 1 4 6 
@)I 7 1 4 8 1 8 8 2 6 4 
?E7 2 4 2 1 1 3 4 3 1 1 
*:F 6 6 3 5 2 8 8 2 7 3 
1*= 3 1 6 6 3 7 7 7 2 5 
L5= 3 6 5 6 1 4 5 3 3 2 
N-5 6 7 2 4 1 8 8 5 8 3 
@6C 2 6 8 4 1 3 3 5 5 3 
@(3 7 5 2 8 7 6 5 8 2 8 
>F> 8 3 8 4 3 8 4 4 2 7 
4I. 5 7 6 1 5 5 4 7 1 4 
6O> 8 6 6 1 6 4 6 5 3 8 
A.N 6 6 8 6 6 8 2 6 1 6 
1): 8 3 7 7 8 5 4 7 1 6 
C,, 8 2 5 3 8 1 8 5 8 7 
J;C 4 7 8 7 1 4 1 2 4 3 
E;N 1 7 2 6 8 2 5 5 8 8 
(GG 2 1 8 1 5 8 4 3 1 5 
I-A 2 1 8 4 7 8 7 8 1 2 
52G 6 8 1 5 7 8 1 2 3 8 
46G 7 1 6 8 2 4 5 3 8 4 
D<- 2 1 7 1 8 5 7 7 3 4 
/?C 8 1 4 8 2 5 2 1 1 6 
2+N 8 7 4 6 5 3 1 6 7 1 
71) 6 5 1 5 6 5 3 5 4 4 
L+3 2 4 1 1 3 5 8 8 5 1 
4@L 7 5 8 2 8 1 6 1 7 5 
);) 6 6 4 5 3 5 5 2 2 6 
ABF 7 3 1 1 4 6 8 7 6 7 
=29 7 4 2 3 7 1 5 3 7 3 
:+E 7 1 6 5 8 3 5 2 2 4 
OD- 3 5 3 1 8 8 3 8 6 2 
)MI 5 1 4 1 8 6 1 6 8 8 
+,I 2 7 2 6 8 2 5 6 6 1 
(F4 5 7 7 1 8 6 6 1 7 4 
D,8 3 6 4 3 6 2 8 1 6 5 
BO- 7 4 2 7 1 4 3 6 1 2 
JKN 4 4 6 4 3 4 5 5 7 7 
286 7 7 2 7 3 2 1 7 7 3 
ML8 2 7 6 3 4 5 4 6 6 4 
74/ 2 4 5 8 5 8 4 6 6 4 
;3K 6 7 2 5 2 7 5 8 3 7 
I?7 6 8 6 1 4 7 5 2 1 6 
0JF 8 4 6 5 3 3 8 5 8 6 
;,2 5 7 3 8 5 6 4 1 2 4 
O=+ 6 7 6 5 1 1 7 4 7 1 
.B: 5 5 7 7 3 2 8 1 2 6 
J-+ 4 4 6 7 1 7 1 2 5 2 
J3? 4 3 7 7 6 1 2 2 2 7 
57/ 7 5 8 4 1 8 4 8 5 3 
G(( 4 5 2 8 4 8 5 6 6 6 
28O 6 8 8 3 6 3 4 7 8 5 
1-- 8 7 5 8 1 1 7 6 6 6 
K.8 4 7 4 1 8 6 1 1 2 5 
(0A 4 5 2 4 1 1 7 2 8 6 
,F? 2 5 3 1 3 1 2 3 7 5 
6J? 4 1 1 7 3 5 6 4 5 2 
=0= 8 3 2 4 2 3 3 3 5 4 
H+3 8 1 3 5 1 7 5 5 5 7 
.+9 5 1 2 5 4 6 7 6 2 7 
+68 1 5 3 8 5 2 7 8 6 6 
*M, 6 5 1 4 5 8 4 6 7 3 
/L) 1 2 5 7 2 3 3 6 7 1 
1>/ 8 3 4 8 4 1 6 3 8 2 
BG5 1 8 6 2 3 1 1 5 2 5 
7J9 7 6 4 8 5 7 7 3 1 1 
1LL 1 2 6 1 1 8 8 8 2 3 
MAH 2 5 5 7 7 1 1 8 3 8 
I+B 7 8 1 1 8 4 3 3 8 7 
J(< 4 8 5 6 4 5 3 7 5 3 
E32 2 8 8 7 3 8 1 3 1 1 
J,7 4 4 4 2 7 6 7 3 5 2 
8B> 3 7 8 2 6 3 7 5 3 3 
7/< 8 8 2 4 7 6 5 1 1 8 
49= 1 5 8 5 6 5 1 6 5 2 
9H5 5 3 7 1 1 1 1 2 6 7 
,/3 6 2 5 2 8 5 7 1 3 3 
AHB 7 1 7 4 6 6 5 5 1 2 
1(J 2 4 3 3 6 7 3 4 7 8 
.64 7 8 2 3 1 2 3 3 2 8 
94* 4 5 7 6 8 3 2 1 3 4 
HN= 7 4 2 1 1 6 1 4 7 6 
4E* 1 6 5 1 4 7 8 6 4 7 
B.O 7 2 2 5 5 4 4 5 4 7 
--J 7 3 6 5 8 4 8 8 2 4 
>4M 8 8 8 3 6 5 8 1 7 7 
/6* 8 3 5 6 8 4 8 5 1 6 
(MI 2 3 1 6 6 6 2 6 4 4 
B,. 5 3 6 8 4 4 2 8 5 5 
8;@ 2 4 3 7 3 8 3 7 3 6 
*// 5 2 4 4 8 7 5 6 7 6 
J,3 5 7 8 6 6 5 2 1 5 7 
3?, 7 7 3 2 5 6 7 2 8 1 
;*> 5 8 8 3 7 4 6 8 3 5 
LAL 4 1 1 8 3 2 7 7 1 7 
7@( 2 3 1 6 7 4 6 2 1 3 
/.) 7 7 2 4 2 4 5 6 2 7 
-MB 3 2 6 4 1 5 7 7 3 4 
LBG 4 1 7 4 7 8 7 3 3 1 
D@@ 8 1 3 8 5 8 6 1 1 4 
8>1 6 4 3 4 4 2 7 4 8 5 
LI( 2 1 3 1 2 1 8 4 5 6 
96I 8 8 6 3 5 3 7 5 2 4 
*J= 5 7 2 1 4 4 1 5 6 5 
F,1 4 6 7 2 6 7 1 5 2 7 
DAN 5 1 4 8 6 3 2 6 5 1 
0<0 1 3 3 3 3 8 2 3 8 2 
D*F 2 6 8 3 8 4 4 5 7 1 
+EN 5 8 5 8 5 5 6 4 7 7 
5N< 7 4 5 5 7 6 8 8 1 4 
E0- 6 2 6 2 2 2 5 4 4 3 
H)? 2 4 3 4 8 5 3 4 6 8 
N02 3 7 1 4 5 7 6 4 7 5 
G@C 2 4 1 3 2 7 5 2 5 4 
@A= 2 8 6 1 2 6 8 8 7 6 
4NE 8 3 2 3 8 4 7 2 4 7 
44H 2 6 1 6 3 4 7 8 6 7 
EH6 1 5 7 3 7 7 4 4 7 2 
+5? 1 7 3 6 1 4 6 3 5 3 
L,4 7 2 7 3 5 4 4 5 4 2 
9,) 5 8 4 4 4 8 4 7 3 8 
ALC 3 1 8 5 2 7 2 4 8 2 
B;A 6 7 1 6 6 8 6 1 7 7 
O.N 8 6 5 5 2 1 4 8 1 4 
=KM 5 8 5 5 6 6 8 7 3 5 
DA4 7 3 6 4 3 1 4 3 8 4 
N7) 5 1 7 5 4 5 7 6 3 6 
;2- 3 2 2 6 2 7 8 8 3 2 
1?- 5 4 6 6 4 5 2 6 2 7 
OC) 2 7 5 4 5 2 2 1 7 2 
,/2 2 4 2 2 8 5 1 3 1 3 
)>3 8 1 5 1 4 2 1 2 6 1 
2J? 1 3 1 7 3 5 5 2 4 6 
:MK 4 6 6 2 4 5 8 2 2 2 
@AE 8 2 1 4 4 8 3 3 4 6 
51O 5 1 2 4 3 1 2 5 6 3 
:;? 6 8 3 7 2 4 1 5 6 4 
*O4 5 5 5 8 1 3 8 4 1 8 
,FH 5 4 2 2 7 6 8 7 2 4 
(A9 8 2 4 7 6 1 4 1 4 5 
OF3 1 5 1 5 1 2 1 4 7 6 
7<= 4 1 4 3 2 5 3 5 4 7 
,02 1 3 7 1 7 2 4 5 5 4 
E@5 7 5 1 1 4 8 3 1 6 4 
<.: 4 4 6 6 7 8 4 7 2 7 
>FG 2 1 8 8 5 7 6 7 6 7 
>44 1 8 2 4 7 3 8 4 7 8 
KHA 7 2 5 6 7 4 3 6 7 2 
+EL 6 4 6 6 6 1 4 4 7 5 
@F) 3 7 4 3 2 1 1 8 1 5 
2+O 1 8 6 3 6 1 6 7 5 5 
D*2 7 4 2 8 6 8 7 6 2 4 
3;) 8 5 8 6 8 4 6 6 1 4 
H>J 5 1 2 6 3 6 3 8 3 6 
F,H 3 2 3 8 4 3 7 5 1 1 
LH? 3 4 5 7 1 3 3 7 4 7 
=:. 5 2 2 6 8 2 5 1 1 4 
8-K 4 7 3 4 1 3 8 6 3 8 
4=B 4 7 8 8 4 6 4 3 7 5 
:8- 6 2 4 2 8 2 6 2 8 5 
>NE 3 5 4 2 3 7 2 2 7 7 
,.( 6 6 5 6 2 7 1 8 5 6 
